phase	profile	concurrency	run_id	ok	health_ckpt	abort	sys_state_err	autofix_adv	autofix_applied	duration_h	total_actions	actions_per_h	alloc_rev	rev_per_h	rev_per_action	allocation_efficiency_pct	energy_cost_usd	wsjf_per_h	value_per_energy	profit_dividend	event_count	miss	inv	sentinel	zero	duration_ok_pct	dur_mult	eff_mult	tier_backlog_cov_pct	tier_telemetry_cov_pct	tier_depth_cov_pct	intent_cov_pct
baseline	golden	sequential	886ff983	0	0	0	1	1	0	0.0000	0	0.000	0.00	0.00	0.00	0.00	0.0000	0.00	0.00	0.00	0	0	0	0	0	0.00	0.000	0.000	0.00	0.00	0.00	0.00
